,Nombre del parque eolico,Pais,Departamento / Zona,Ciudad,turbinas eolicas,Altura de las gondolas,Potencia nominal total,Operativo,Parque eolico onshore,Desarrolladores,Operador,Propietario,Fuente,Latitud,Longitud,Sistema geodesico,Localizacion precisa,Puesta en servicio,Desarrollador,Imagenes de Google Maps,Parte,Otro nombre,Propietarios,Altitud,turbina eolica,En construccion,Deshabilitar,Operadores,Sitio web,"direccion de correo electronico a fin de inscribirle al boletin de noticias, estrictamente destinada al envio de los boletines de noticias y por un periodo de tiempo limitado a la duracion de la inscripcion a dichos boletines de noticias.","direccion de correo electronico y nombre de la empresa cuando se soliciten presupuestos o se adquieran productos, unicamente destinados a realizar el seguimiento de los clientes y durante un periodo de tiempo conforme a las obligaciones contables."
10,Aguatona,Espana,Las Palmas (Canarias),IngenioÂ ,"Vestas V20/100 (potencia 100 kW, diametro 20 m)",,200 kW,si,si,,PECSA Plantas Eolicas Canarias SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 55' 58.7""","-15° 25' 7.2""",WGS84,si,1992/05,PECSA Plantas Eolicas Canarias SA,Imagenes de Google Maps,,,,,,,,,,,
11,Aibar,Espana,Navarra,"Lumbier, Aibar, Urraul","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,32 340 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 22.9""","-1° 23' 29.3""",WGS84,si,1998,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
12,Aibar,Espana,Navarra,"Lumbier, Aibar, Urraul","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,32 340 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 22.9""","-1° 23' 29.3""",WGS84,si,1998,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
13,Aizkibel,Espana,Navarra,Cendea de Galar,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,11 220 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 43' 13.1""","-1° 41' 40.8""",WGS84,si,2000/08,Acciona Energia,Imagenes de Google Maps,,,,,"Made AE-61 (potencia 1 320 kW, diametro 61 m)",,,,,,
14,Aizkibel,Espana,Navarra,Cendea de Galar,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,11 220 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 43' 13.1""","-1° 41' 40.8""",WGS84,si,2000/08,Acciona Energia,Imagenes de Google Maps,,,,,"Made AE-61 (potencia 1 320 kW, diametro 61 m)",,,,,,
15,Alaiz,Espana,Navarra,"Oloriz,Unzue","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",93 m,32 340 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 40' 47.9""","-1° 34' 48""",WGS84,si,2000,Acciona Energia,Imagenes de Google Maps,,,,,GE Energy ,,,,,,
16,Alaiz,Espana,Navarra,"Oloriz,Unzue","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",93 m,32 340 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 40' 47.9""","-1° 34' 48""",WGS84,si,2000,Acciona Energia,Imagenes de Google Maps,,,,,GE Energy ,,,,,,
17,Alaiz,Espana,Navarra,"Oloriz,Unzue","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",93 m,32 340 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 40' 47.9""","-1° 34' 48""",WGS84,si,2000,Acciona Energia,Imagenes de Google Maps,,,,,GE Energy ,,,,,,
18,Alcarama I,Espana,Logrono (La Rioja),Cervera del Rio Alhama,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,5 100 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 0' 12.9""","-2° 2' 46.4""",WGS84,si,2003,Sistemas Energeticos Alhama-Linares,Imagenes de Google Maps,,,,,,,,,,,
19,Alcarama I,Espana,Logrono (La Rioja),Cervera del Rio Alhama,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,5 100 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 0' 12.9""","-2° 2' 46.4""",WGS84,si,2003,Sistemas Energeticos Alhama-Linares,Imagenes de Google Maps,,,,,,,,,,,
20,Alcarama II,Espana,Logrono (La Rioja),Cervera del Rio Alhama,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,28 050 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 0' 12.9""","-2° 2' 46.4""",WGS84,si,2003,Sistemas Energeticos Alhama-Linares,Imagenes de Google Maps,,,,,,,,,,,
21,Alcarama II,Espana,Logrono (La Rioja),Cervera del Rio Alhama,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,28 050 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 0' 12.9""","-2° 2' 46.4""",WGS84,si,2003,Sistemas Energeticos Alhama-Linares,Imagenes de Google Maps,,,,,,,,,,,
22,Aldeavieja,Espana,Avila (Castilla y Leon),"Sta, Maria del Cubillo","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,14 520 kW,si,si,,Enel GreenPower,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 43' 11.9""","-4° 28' 11.9""",WGS84,si,,,Imagenes de Google Maps,,,,,,,,,,,
23,Alentisque,Espana,Soria (Castilla y Leon),Alentisque,"Vestas V82/1500 (potencia 1 500 kW, diametro 82 m)",,46 500 kW,si,si,,Peesa,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 24' 10.4""","-2° 19' 30.7""",WGS84,si,2005,Peesa,Imagenes de Google Maps,,,,,,,,,,,
24,Alhambra,Espana,Ciudad Real (Castilla-La Mancha),"Alhambra, La Solana, Membrilla","Gamesa G83/2000 (potencia 2 000 kW, diametro 83 m)",,34 000 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 52' 4.5""","-3° 7' 32.9""",WGS84,si,2006,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
25,Alijar,Espana,Cadiz (Andalucia),Jerez de la Frontera,"Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,24 000 kW,si,si,,Acciona Energia,CEPSA,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"36° 44' 12.3""","-6° 16' 47.3""",WGS84,si,2005,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
26,Almaren,Espana,Zaragoza (Aragon),Sestrica,"Gamesa G58/850 (potencia 850 kW, diametro 58 m)",,11 900 kW,si,si,,Enel GreenPower,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 28' 2.8""","-1° 37' 22.2""",WGS84,si,2008,,Imagenes de Google Maps,,,,,,,,,,,
27,Almendros I,Espana,Murcia,Jumilla,"Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,20 040 kW,si,si,,Energias Renovables de la region de Murcia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 39' 27.7""","-1° 26' 5.9""",WGS84,si,2006,Energias Renovables de la region de Murcia,Imagenes de Google Maps,,,,,,,,,,,
28,Almendros II,Espana,Murcia,Jumilla,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,28 000 kW,si,si,,Energias Renovables de la region de Murcia,Iberdrola Renewables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 39' 50.3""","-1° 25' 40.5""",WGS84,si,2007,Energias Renovables de la region de Murcia,Imagenes de Google Maps,,,,,,,,,,,
29,Altamira,Espana,Malaga (Andalucia),"Teba, Almargen (Malaga)","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,50 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"37° 1' 44.2""","-5° 0' 35.8""",WGS84,si,,Gamesa,Imagenes de Google Maps,,,,,,,,,,,
30,Alto Casillas I,Espana,Castellon (Comunidad Valenciana),"Barracas, Viver","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,30 000 kW,si,si,,Proyectos Eolicos Valencianos,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 59' 56.7""","-0° 37' 36.2""",WGS84,si,2007,Enel GreenPower,Imagenes de Google Maps,,,,,,,,,,,
31,Alto Casillas II,Espana,Castellon (Comunidad Valenciana),Pina de MontalgraoÂ ,"Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,30 000 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 59' 56.7""","-0° 37' 36.2""",WGS84,si,2007,Proyectos Eolicos Valencianos,Imagenes de Google Maps,,,,,,,,,,,
32,Alto de Seixal,Espana,Lugo (Galicia),"Abadin, A Pastoriza (Lugo)","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,18 000 kW,si,si,,Gamesa,Gas Natural Fenosa Renovables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 22' 36.2""","-7° 22' 57.8""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
33,Alto de Seixal,Espana,Lugo (Galicia),"Abadin, A Pastoriza (Lugo)","Gamesa G87/2000 (potencia 2 000 kW, diametro 87 m)",,18 000 kW,si,si,,Gamesa,Gas Natural Fenosa Renovables,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 22' 36.2""","-7° 22' 57.8""",WGS84,si,2011,,Imagenes de Google Maps,,,,,,,,,,,
34,Alto dÂ´Abara,Espana,Asturias,"El Franco, Coana","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,6 000 kW,si,si,,Acciona Energia,Eurus Energy,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 31' 14.3""","-6° 47' 15.8""",WGS84,si,2009,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
35,Altos de Cartagena,Espana,Avila (Castilla y Leon),Las Navas del Marques,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,21 120 kW,si,si,,PE Monte las Navas,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 37' 48""","-4° 20' 23.9""",WGS84,si,,PE Monte las Navas,Imagenes de Google Maps,,,,,,,,,,,
36,Ameixenda-Filgueira,Espana,Pontevedra (Galicia),"Dumbria, Cee","Navantia-Siemens Bonus Mk-IV (potencia 600 kW, diametro 44 m)",,34 800 kW,si,si,Acciona Energia/Terranova,Acciona Energia,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 34' 12""","-8° 11' 59.9""",WGS84,si,,,Imagenes de Google Maps,Paxareiras II d e,Paxareiras II d e,Acciona Energia/Eurus Energy,,,,,,,,
37,Arbo,Espana,Pontevedra (Galicia),Arbo,"Ecotecnia 74 (potencia 1 670 kW, diametro 74 m)",,3 340 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 8' 28.7""","-8° 20' 11""",WGS84,si,2007,Fersa,Imagenes de Google Maps,,,,,,,,,,,
38,Arganoso,Espana,Leon (Castilla y Leon),"Santa Colomba de Samoza, Torre del Bierzo","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,22 000 kW,si,si,,Energia Global Castellana,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 32' 2.9""","-6° 17' 18.7""",WGS84,si,2007,Energia Global Castellana,Imagenes de Google Maps,,,,,,,,,,,
39,Arinaga Depuradora,Espana,Las Palmas (Canarias),IngenioÂ ,,,225 kW,si,si,,Gobierno de Canarias,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 51' 47.2""","-15° 25' 7.6""",WGS84,si,1998,,Imagenes de Google Maps,,,,,(el nombre de la empresa no esta disponible)  ,,,,,,
40,Arinaga Depuradora,Espana,Las Palmas (Canarias),IngenioÂ ,,,225 kW,si,si,,Gobierno de Canarias,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 51' 47.2""","-15° 25' 7.6""",WGS84,si,1998,,Imagenes de Google Maps,,,,,(el nombre de la empresa no esta disponible)  ,,,,,,
41,Arriello,Espana,Castellon (Comunidad Valenciana),"Castellfort, Villafranca del Cid, Ares del Maestre","Acciona AW-1500/77 (potencia 1 500 kW, diametro 77 m)",,49 500 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 27' 58.8""","-0° 12' 52.6""",WGS84,si,2007,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
42,Arroyal,Espana,Burgos (Castilla y Leon),Alfoz de QuintanaduenasÂ ,"GE Energy 1.5sle (potencia 1 500 kW, diametro 77 m)",,46 500 kW,si,si,SeeBA EnergyFarming/Cobra,ACS,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 24' 55.9""","-3° 46' 8.5""",WGS84,si,2008,,Imagenes de Google Maps,,,,,,,,,,,
43,Arteixo,Espana,La Coruna (Galicia),ArteixoÂ ,,,1 670 kW,si,si,,Fomento de las Energias Renovables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 17' 52""","-8° 35' 3.9""",WGS84,si,2010,,Imagenes de Google Maps,,,,,"Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,,,,,
44,Ascoy I,Espana,Murcia,Cieza,"Gamesa G47/660 (potencia 660 kW, diametro 47 m)",45 m,5 940 kW,si,si,,Elecdey,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 16' 21.1""","-1° 22' 32.2""",WGS84,si,1998,Elecdey,Imagenes de Google Maps,,,Elecdey/E.ON Climate Renewables/Nuevos Riegos el Progreso S.A./IDAE/Pedro Soler Dolera,,,,,,,,
45,Ascoy II,Espana,Murcia,Cieza,"Gamesa G58/850 (potencia 850 kW, diametro 58 m)",45 m,1 700 kW,si,si,,E.ON Climate Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 16' 14.4""","-1° 22' 48.8""",WGS84,si,2003,Elecdey,Imagenes de Google Maps,,,Elecdey/E.ON Climate Renewables/Nuevos Riegos el Progreso S.A./IDAE/Pedro Soler Dolera,,,,,,,,
46,Atalaya de la Solana,Espana,Albacete (Castilla-La Mancha),Penas de San Pedro,"Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,20 400 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"38° 45' 35.4""","-2° 3' 18.7""",WGS84,si,2004,Acciona Energia,Imagenes de Google Maps,,,,,,,,,,,
47,Atalaya I,Espana,Zaragoza (Aragon),"Pedrola, Luceni","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,25 500 kW,si,si,,Molinos del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 45' 59.7""","-1° 15' 52.4""",WGS84,si,2002,Molinos del Ebro SA,Imagenes de Google Maps,,,,,,,,,,,
48,Atalaya II,Espana,Zaragoza (Aragon),"Pedrola, Luceni","Made AE-56 (potencia 800 kW, diametro 56 m)",,24 000 kW,si,si,,Molinos del Ebro SA,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 47' 10.5""","-1° 16' 42.5""",WGS84,si,2003,Molinos del Ebro SA,Imagenes de Google Maps,,,,,,,,,,,
49,Ãvila,Espana,Avila (Castilla y Leon),"Avila, Tornadizos","Gamesa G47/660 (potencia 660 kW, diametro 47 m)",,11 880 kW,si,si,,Parque eolico Altos de Voltoya. S.A.,EDP Renovaveis,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"40° 37' 51.6""","-4° 30' 33.1""",WGS84,si,2000,Parque eolico Altos de Voltoya. S.A.,Imagenes de Google Maps,,,,,,,,,,,
50,BaCa,Espana,Burgos (Castilla y Leon),"Castrojeriz, Vallejera","Siemens-Gamesa SG 3.4-132 (potencia 3 465 kW, diametro 132 m)",,69 300 kW,,si,,,Iberdrola Renewables,,"42° 12' 6.2""","-4° 9' 47""",WGS84,si,,,Imagenes de Google Maps,Ballestas et Casetona,Ballestas et Casetona,,,,En construccion,,,,,
51,Badaia,Espana,Alava (Euskadi),"Kuartango, Ribera Alta e Iruna Oka","Ecotecnia 80 1.6 (potencia 1 670 kW, diametro 80 m)",,50 100 kW,si,si,,Iberdrola Renewables,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 51' 0.5""","-2° 51' 18.4""",WGS84,si,2005,Eolicas de Euskadi,Imagenes de Google Maps,,,,,,,,,,,
52,Bahia de Formas II,Espana,Las Palmas (Canarias),Santa Lucia de TirajanaÂ ,"Enercon E40/500 (potencia 500 kW, diametro 40 m)",,2 000 kW,si,si,,Oscar Perez Deniz Eolica. S.L.,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 50' 42.3""","-15° 25' 27.8""",WGS84,si,,Eolica del Sureste,Imagenes de Google Maps,,,,,,,,,,,
53,Bahia de Formas III,Espana,Las Palmas (Canarias),Santa Lucia de TirajanaÂ ,"Enercon E40/600 (potencia 600 kW, diametro 40 m)",,6 000 kW,si,si,,Eolica Aircan. S.L.Â ,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 50' 42.3""","-15° 25' 27.8""",WGS84,si,,Eolica Aircan. S.L.Â ,Imagenes de Google Maps,,,,,,,,,,,
54,Bahia de Formas IV,Espana,Las Palmas (Canarias),Santa Lucia de TirajanaÂ ,"Enercon E40/600 (potencia 600 kW, diametro 40 m)",,6 000 kW,si,si,,Eolica del Sureste,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 50' 42.3""","-15° 25' 27.8""",WGS84,si,,Eolica del Sureste,Imagenes de Google Maps,,,,,,,,,,,
55,Bandeleras,Espana,Salamanca (Castilla y Leon),"Palacios del Arzobispo, Zamayon","Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",,36 000 kW,si,si,,P.E. Bandeleras,Aventron,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 9' 19.9""","-5° 51' 15.4""",WGS84,si,2011,P.E. Bandeleras,Imagenes de Google Maps,,,,900 m,,,,,,,
56,Baos y Pumar Fase I,Espana,Asturias,"Salas, Valdes, Cudillero","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,30 600 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 30' 8.8""","-6° 15' 54.2""",WGS84,si,2006,Eolica Curiscao Pumar,Imagenes de Google Maps,,,,,,,,,,,
57,Baos y Pumar Fase II,Espana,Asturias,"Salas, Valdes, CudilleroÂ ","Gamesa G52/850 (potencia 850 kW, diametro 52 m)",,9 350 kW,si,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"43° 30' 8.8""","-6° 15' 54.2""",WGS84,si,2006,Eolica Curiscao Pumar,Imagenes de Google Maps,,,,,,,,,,,
58,Barbanza I,Espana,La Coruna (Galicia),"Porto do Son, Pobra do Caraminal","Made AE-30 (potencia 330 kW, diametro 30 m)",,19 800 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 40' 7.4""","-8° 57' 42.7""",WGS84,si,1997,Terranova,Imagenes de Google Maps,,,,,,,,,,,
59,Barbanza II,Espana,La Coruna (Galicia),"Porto do Son, Pobra do Caraminal","Made AE-32 (potencia 330 kW, diametro 32 m)",,8 580 kW,si,si,,Acciona Energia,Acciona Energia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"42° 38' 24""","-8° 58' 41.4""",WGS84,no,1998,Terranova,Imagenes de Google Maps,,,,,"Made AE-46/I (potencia 660 kW, diametro 46 m)",,,,,,
60,Barbers,Espana,Tarragona (Cataluna),Asco,"Nordex N90/2500 (potencia 2 500 kW, diametro 90 m)",,30 000 kW,si,si,,Eolia,Eolia,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"41° 7' 59.5""","0° 34' 58.9""",WGS84,si,2012,Tarraco Eolica Asco,Imagenes de Google Maps,,,,400 m,,,,,,,
61,Barchin,Espana,Cuenca (Castilla-La Mancha),Barchin del Hoyo,"Gamesa G90/2000 (potencia 2 000 kW, diametro 90 m)",78 m,28 000 kW,si,si,,Elecdey,Huadian Power,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 40' 32.2""","-2° 4' 34.1""",WGS84,si,2012,Gamesa,Imagenes de Google Maps,,,,,,,,,,,
62,Barranco de Tirajana,Espana,Las Palmas (Canarias),San Bartolome (Gran Canaria),"Made AE-23 (potencia 180 kW, diametro 23 m)",,1 260 kW,,si,,,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"27° 48' 20.7""","-15° 26' 8.4""",WGS84,si,,Eolicas de Tirajana,Imagenes de Google Maps,,,,,,,Deshabilitar,,,,
63,Barrax,Espana,Albacete (Castilla-La Mancha),Barrax,,100 m,3 600 kW,si,si,,GE Wind Energy,,http://www.aeeolica.org/en/about-wind-energy/wind-energy-in-spain/wind-map/,"39° 5' 24.3""","-2° 11' 46.5""",WGS84,si,2007,GE Wind Energy,Imagenes de Google Maps,,,,,"GE Energy 3.6sl (potencia 3 600 kW, diametro 111 m)",,,,,,
64,Becerril,Espana,Palencia (Castilla y Leon),Becerril de CamposÂ ,"Vestas V90/2000 (potencia 2 000 kW, diametro 90 m)",105 m,6 000 kW,si,si,,Elawan,Elawan,http://www.elawan.com/en/business/wind-farms,"42° 7' 40.3""","-4° 38' 6.7""",WGS84,si,2009/05,Eolica de las Penas,Imagenes de Google Maps,,,,,,,,,,,
